corpus,tokenizer,form,pieces,occurrences,lexicon
interviews (train),BERTIN (RoBERTa-es),esforzarme,Ġesfor | zar | me,3,False
interviews (train),BERTIN (RoBERTa-es),estresantes,Ġestres | antes,3,False
interviews (train),BERTIN (RoBERTa-es),estresar,Ġestres | ar,3,True
interviews (train),BERTIN (RoBERTa-es),frustraciones,Ġfr | ustraciones,3,True
interviews (train),BERTIN (RoBERTa-es),frustrante,Ġfrustr | ante,3,False
interviews (train),BERTIN (RoBERTa-es),hablarlo,Ġhablar | lo,3,False
interviews (train),BERTIN (RoBERTa-es),irritada,Ġirri | tada,3,False
interviews (train),BERTIN (RoBERTa-es),levantaba,Ġlevan | taba,3,False
interviews (train),BERTIN (RoBERTa-es),obtuve,Ġob | tuve,3,False
interviews (train),BERTIN (RoBERTa-es),orar,Ġor | ar,3,False
interviews (train),BERTIN (RoBERTa-es),preocupando,Ġpreocup | ando,3,True
interviews (train),BERTIN (RoBERTa-es),presionado,Ġpres | ionado,3,False
interviews (train),BERTIN (RoBERTa-es),procrastinación,Ġpro | c | ras | tin | aciÃ³n,3,False
interviews (train),BERTIN (RoBERTa-es),psicológicamente,Ġpsic | olÃ³gicamente,3,False
interviews (train),BERTIN (RoBERTa-es),relacionarme,Ġrelacion | arme,3,False
interviews (train),BERTIN (RoBERTa-es),relaje,Ġrela | je,3,False
interviews (train),BERTIN (RoBERTa-es),relajo,Ġrela | jo,3,True
interviews (train),BERTIN (RoBERTa-es),rindiendo,Ġrind | iendo,3,False
interviews (train),BERTIN (RoBERTa-es),somnolienta,Ġsom | nol | ienta,3,False
interviews (train),BERTIN (RoBERTa-es),sustentaciones,Ġsusten | taciones,3,False
interviews (train),BERTIN (RoBERTa-es),terminé,Ġtermin | Ã©,3,False
interviews (train),BERTIN (RoBERTa-es),tomarme,Ġtomar | me,3,False
interviews (train),BERTIN (RoBERTa-es),trasnochar,Ġtras | no | char,3,False
interviews (train),BERTIN (RoBERTa-es),Aparte,ĠA | parte,2,False
interviews (train),BERTIN (RoBERTa-es),Básicamente,ĠB | Ã¡sicamente,2,False
interviews (train),BERTIN (RoBERTa-es),Casi,ĠCas | i,2,False
interviews (train),BERTIN (RoBERTa-es),Demoro,ĠD | emor | o,2,False
interviews (train),BERTIN (RoBERTa-es),Depende,ĠD | epend | e,2,False
interviews (train),BERTIN (RoBERTa-es),Emocionalmente,ĠEmo | cionalmente,2,False
interviews (train),BERTIN (RoBERTa-es),Especialmente,ĠEspecial | mente,2,False
interviews (train),BERTIN (RoBERTa-es),Hacen,ĠH | acen,2,False
interviews (train),BERTIN (RoBERTa-es),Luego,ĠL | uego,2,False
interviews (train),BERTIN (RoBERTa-es),Momentos,M | om | entos,2,False
interviews (train),BERTIN (RoBERTa-es),Respecto,ĠRes | pecto,2,False
interviews (train),BERTIN (RoBERTa-es),Tampoco,ĠTam | poco,2,False
interviews (train),BERTIN (RoBERTa-es),Tanto,ĠT | anto,2,False
interviews (train),BERTIN (RoBERTa-es),adjudico,Ġadjud | ico,2,False
interviews (train),BERTIN (RoBERTa-es),adjudicándome,Ġadjud | ic | Ã¡ndome,2,False
interviews (train),BERTIN (RoBERTa-es),afrontarlo,Ġafrontar | lo,2,False
interviews (train),BERTIN (RoBERTa-es),agobia,Ġag | obia,2,False
interviews (train),BERTIN (RoBERTa-es),agobiada,Ġagob | iada,2,True
interviews (train),BERTIN (RoBERTa-es),alimentarme,Ġalimentar | me,2,False
interviews (train),BERTIN (RoBERTa-es),almorzar,Ġalmor | zar,2,False
interviews (train),BERTIN (RoBERTa-es),alprazolam,Ġal | pra | z | ol | am,2,False
interviews (train),BERTIN (RoBERTa-es),amorosas,Ġamor | osas,2,False
interviews (train),BERTIN (RoBERTa-es),angustiado,Ġangusti | ado,2,True
interviews (train),BERTIN (RoBERTa-es),ansiosos,Ġans | iosos,2,True
interviews (train),BERTIN (RoBERTa-es),apretados,Ġapre | tados,2,False
interviews (train),BERTIN (RoBERTa-es),arepita,Ġare | pita,2,False
interviews (train),BERTIN (RoBERTa-es),atrasado,Ġatras | ado,2,False
interviews (train),BERTIN (RoBERTa-es),autorregularme,Ġautor | regular | me,2,False
interviews (train),BERTIN (RoBERTa-es),ayudaba,Ġayud | aba,2,False
interviews (train),BERTIN (RoBERTa-es),bajitas,Ġbaj | itas,2,False
interviews (train),BERTIN (RoBERTa-es),balancear,Ġbalance | ar,2,False
interviews (train),BERTIN (RoBERTa-es),brinden,Ġbr | in | den,2,False
interviews (train),BERTIN (RoBERTa-es),buñuelo,Ġbu | Ã± | uelo,2,False
interviews (train),BERTIN (RoBERTa-es),carcoma,Ġcar | com | a,2,False
interviews (train),BERTIN (RoBERTa-es),certidumbre,Ġcer | tid | umbre,2,False
interviews (train),BERTIN (RoBERTa-es),chiquito,Ġchi | quito,2,False
interviews (train),BERTIN (RoBERTa-es),chiquitos,Ġchi | quitos,2,False
interviews (train),BERTIN (RoBERTa-es),choripanes,Ġchor | ip | anes,2,False
interviews (train),BERTIN (RoBERTa-es),cierro,Ġcier | ro,2,False
interviews (train),BERTIN (RoBERTa-es),compararme,Ġcompar | arme,2,False
interviews (train),BERTIN (RoBERTa-es),complican,Ġcompl | ican,2,False
interviews (train),BERTIN (RoBERTa-es),comunico,Ġcomun | ico,2,False
interviews (train),BERTIN (RoBERTa-es),controlo,Ġcontrol | o,2,False
interviews (train),BERTIN (RoBERTa-es),cuestiono,Ġcu | esti | ono,2,False
interviews (train),BERTIN (RoBERTa-es),cumplí,Ġcumpl | ÃŃ,2,False
interviews (train),BERTIN (RoBERTa-es),cursando,Ġcurs | ando,2,False
interviews (train),BERTIN (RoBERTa-es),demorado,Ġdem | orado,2,False
interviews (train),BERTIN (RoBERTa-es),deprimida,Ġdeprim | ida,2,True
interviews (train),BERTIN (RoBERTa-es),desanimada,Ġdes | anim | ada,2,False
interviews (train),BERTIN (RoBERTa-es),desmotivado,Ġdes | mo | tiv | ado,2,True
interviews (train),BERTIN (RoBERTa-es),despertando,Ġdesper | tando,2,False
interviews (train),BERTIN (RoBERTa-es),digámoslo,Ġdig | Ã¡ | moslo,2,False
interviews (train),BERTIN (RoBERTa-es),discernimiento,Ġdiscern | imiento,2,False
interviews (train),BERTIN (RoBERTa-es),distraer,Ġdistra | er,2,False
interviews (train),BERTIN (RoBERTa-es),emocioné,Ġemocion | Ã©,2,False
interviews (train),BERTIN (RoBERTa-es),enfoco,Ġenfo | co,2,False
interviews (train),BERTIN (RoBERTa-es),enfrentando,Ġenfren | tando,2,False
interviews (train),BERTIN (RoBERTa-es),enmendar,Ġenmend | ar,2,False
interviews (train),BERTIN (RoBERTa-es),enredado,Ġenred | ado,2,False
interviews (train),BERTIN (RoBERTa-es),entreno,Ġentr | eno,2,False
interviews (train),BERTIN (RoBERTa-es),entretenerme,Ġentretener | me,2,False
interviews (train),BERTIN (RoBERTa-es),esforzando,Ġesfor | zando,2,False
interviews (train),BERTIN (RoBERTa-es),estresa,Ġestr | esa,2,True
interviews (train),BERTIN (RoBERTa-es),estresan,Ġestres | an,2,True
interviews (train),BERTIN (RoBERTa-es),estresarme,Ġestres | arme,2,False
interviews (train),BERTIN (RoBERTa-es),estrese,Ġestr | ese,2,False
interviews (train),BERTIN (RoBERTa-es),estresé,Ġestres | Ã©,2,True
interviews (train),BERTIN (RoBERTa-es),expresando,Ġexpres | ando,2,False
interviews (train),BERTIN (RoBERTa-es),extensos,Ġexten | sos,2,False
interviews (train),BERTIN (RoBERTa-es),fastidio,Ġfas | ti | dio,2,False
interviews (train),BERTIN (RoBERTa-es),fatigado,Ġfa | tigado,2,False
interviews (train),BERTIN (RoBERTa-es),flojera,Ġflo | jera,2,False
interviews (train),BERTIN (RoBERTa-es),gané,Ġgan | Ã©,2,False
interviews (train),BERTIN (RoBERTa-es),gastritis,Ġgas | tritis,2,False
interviews (train),BERTIN (RoBERTa-es),graduarme,Ġgradu | arme,2,False
interviews (train),BERTIN (RoBERTa-es),honestamente,Ġhones | tamente,2,False
interviews (train),BERTIN (RoBERTa-es),identifico,Ġidentif | ico,2,False
interviews (train),BERTIN (RoBERTa-es),ignorando,Ġignor | ando,2,False
interviews (train),BERTIN (RoBERTa-es),imaginé,Ġimagin | Ã©,2,False
interviews (train),BERTIN (RoBERTa-es),influenciada,Ġinfluen | ciada,2,False
interviews (train),BERTIN (RoBERTa-es),invite,Ġinv | ite,2,False
interviews (train),BERTIN (RoBERTa-es),lapso,Ġla | pso,2,False
interviews (train),BERTIN (RoBERTa-es),llorado,Ġllor | ado,2,True
interviews (train),BERTIN (RoBERTa-es),llore,Ġllor | e,2,False
interviews (train),BERTIN (RoBERTa-es),lloro,Ġllor | o,2,False
interviews (train),BERTIN (RoBERTa-es),madrugo,Ġmadru | go,2,False
interviews (train),BERTIN (RoBERTa-es),malagradecida,Ġmala | grad | ecida,2,False
interviews (train),BERTIN (RoBERTa-es),mandé,Ġmand | Ã©,2,False
interviews (train),BERTIN (RoBERTa-es),manejarla,Ġmanejar | la,2,False
interviews (train),BERTIN (RoBERTa-es),manejó,Ġmane | jÃ³,2,False
interviews (train),BERTIN (RoBERTa-es),marchando,Ġmarch | ando,2,False
interviews (train),BERTIN (RoBERTa-es),mareo,Ġmar | eo,2,False
interviews (train),BERTIN (RoBERTa-es),molestan,Ġmoles | tan,2,False
interviews (train),BERTIN (RoBERTa-es),momentico,Ġmom | enti | co,2,False
interviews (train),BERTIN (RoBERTa-es),monotonía,Ġmono | tonÃŃa,2,False
interviews (train),BERTIN (RoBERTa-es),notan,Ġno | tan,2,False
interviews (train),BERTIN (RoBERTa-es),noviazgo,Ġnovia | zgo,2,False
interviews (train),BERTIN (RoBERTa-es),obeso,Ġob | eso,2,False
interviews (train),BERTIN (RoBERTa-es),pensionado,Ġpens | ionado,2,False
interviews (train),BERTIN (RoBERTa-es),permanezco,Ġperman | ezco,2,False
interviews (train),BERTIN (RoBERTa-es),poderme,Ġpoder | me,2,False
interviews (train),BERTIN (RoBERTa-es),practico,Ġprac | tico,2,False
interviews (train),BERTIN (RoBERTa-es),pragmaten,Ġprag | ma | ten,2,False
interviews (train),BERTIN (RoBERTa-es),prefería,Ġprefer | ÃŃa,2,False
interviews (train),BERTIN (RoBERTa-es),preocupaba,Ġpreocup | aba,2,True
interviews (train),BERTIN (RoBERTa-es),preparo,Ġprepar | o,2,False
interviews (train),BERTIN (RoBERTa-es),prerrequisito,Ġprer | re | quis | ito,2,False
interviews (train),BERTIN (RoBERTa-es),presenté,Ġpresent | Ã©,2,False
interviews (train),BERTIN (RoBERTa-es),procrastine,Ġpro | c | ras | tine,2,False
interviews (train),BERTIN (RoBERTa-es),ratico,Ġra | tico,2,False
interviews (train),BERTIN (RoBERTa-es),reacciono,Ġreaccion | o,2,False
interviews (train),BERTIN (RoBERTa-es),recaigo,Ġreca | igo,2,False
interviews (train),BERTIN (RoBERTa-es),regresé,Ġregres | Ã©,2,False
interviews (train),BERTIN (RoBERTa-es),relájate,Ġrel | Ã¡ | jate,2,False
interviews (train),BERTIN (RoBERTa-es),remueven,Ġrem | ueven,2,False
interviews (train),BERTIN (RoBERTa-es),retomando,Ġreto | mando,2,False
interviews (train),BERTIN (RoBERTa-es),revuelve,Ġrev | uelve,2,False
interviews (train),BERTIN (RoBERTa-es),rindo,Ġr | indo,2,False
interviews (train),BERTIN (RoBERTa-es),risperidona,Ġris | per | idona,2,False
interviews (train),BERTIN (RoBERTa-es),saturarse,Ġsa | tur | arse,2,False
interviews (train),BERTIN (RoBERTa-es),semestres,Ġsem | estres,2,False
interviews (train),BERTIN (RoBERTa-es),sentimentalmente,Ġsentimental | mente,2,False
interviews (train),BERTIN (RoBERTa-es),snacks,Ġsna | cks,2,False
interviews (train),BERTIN (RoBERTa-es),sobrellevarlo,Ġsobre | llev | arlo,2,False
interviews (train),BERTIN (RoBERTa-es),sobrepienso,Ġsobre | pien | so,2,False
interviews (train),BERTIN (RoBERTa-es),sociable,Ġsoci | able,2,False
interviews (train),BERTIN (RoBERTa-es),solté,Ġsol | tÃ©,2,False
interviews (train),BERTIN (RoBERTa-es),sustentación,Ġsusten | taciÃ³n,2,False
interviews (train),BERTIN (RoBERTa-es),sustentar,Ġsusten | tar,2,False
interviews (train),BERTIN (RoBERTa-es),tensionantes,Ġten | sion | antes,2,False
interviews (train),BERTIN (RoBERTa-es),terminarlo,Ġtermin | arlo,2,False
interviews (train),BERTIN (RoBERTa-es),transcurrir,Ġtranscur | rir,2,False
interviews (train),BERTIN (RoBERTa-es),trasnocharme,Ġtras | no | char | me,2,False
interviews (train),BERTIN (RoBERTa-es),traté,Ġtra | tÃ©,2,False
interviews (train),BERTIN (RoBERTa-es),trazo,Ġtra | zo,2,False
interviews (train),BERTIN (RoBERTa-es),vectorial,Ġvec | torial,2,False
interviews (train),BERTIN (RoBERTa-es),vine,Ġv | ine,2,False
interviews (train),BERTIN (RoBERTa-es),Adicionalmente,ĠAdi | cionalmente,1,False
interviews (train),BERTIN (RoBERTa-es),Afectaba,ĠA | fec | taba,1,False
interviews (train),BERTIN (RoBERTa-es),Ahorita,ĠAhor | ita,1,False
interviews (train),BERTIN (RoBERTa-es),Almorzaba,ĠAlm | or | zaba,1,False
interviews (train),BERTIN (RoBERTa-es),Ansioso,ĠAn | s | ioso,1,True
interviews (train),BERTIN (RoBERTa-es),Apetito,ĠA | pe | tito,1,True
interviews (train),BERTIN (RoBERTa-es),Asumo,ĠAs | umo,1,False
interviews (train),BERTIN (RoBERTa-es),Aún,ĠA | Ãºn,1,False
interviews (train),BERTIN (RoBERTa-es),Bastante,ĠBas | tante,1,False
interviews (train),BERTIN (RoBERTa-es),Cambios,ĠCam | bios,1,False
interviews (train),BERTIN (RoBERTa-es),Cansancio,ĠC | ans | an | cio,1,True
interviews (train),BERTIN (RoBERTa-es),Cansarme,ĠC | ans | arme,1,False
interviews (train),BERTIN (RoBERTa-es),Cometí,ĠCom | et | ÃŃ,1,False
interviews (train),BERTIN (RoBERTa-es),Considero,ĠCons | idero,1,False
interviews (train),BERTIN (RoBERTa-es),Demasiado,ĠD | emas | iado,1,False
interviews (train),BERTIN (RoBERTa-es),Digamos,D | igamos,1,False
interviews (train),BERTIN (RoBERTa-es),Divido,ĠDiv | ido,1,False
interviews (train),BERTIN (RoBERTa-es),Dormí,ĠDorm | ÃŃ,1,True
interviews (train),BERTIN (RoBERTa-es),Empezando,ĠEmp | ez | ando,1,False
interviews (train),BERTIN (RoBERTa-es),Empiezo,ĠEmp | i | ezo,1,False
interviews (train),BERTIN (RoBERTa-es),Entrenando,ĠEntren | ando,1,False
interviews (train),BERTIN (RoBERTa-es),Erda,Er | da,1,False
interviews (train),BERTIN (RoBERTa-es),Escogí,ĠEsco | g | ÃŃ,1,False
interviews (train),BERTIN (RoBERTa-es),Estudiamos,Estudi | amos,1,False
interviews (train),BERTIN (RoBERTa-es),Evidentemente,ĠEv | identemente,1,False
interviews (train),BERTIN (RoBERTa-es),Excelente,ĠExcel | ente,1,False
interviews (train),BERTIN (RoBERTa-es),Generalmente,ĠGener | almente,1,False
interviews (train),BERTIN (RoBERTa-es),Hablando,ĠHab | lando,1,False
interviews (train),BERTIN (RoBERTa-es),Hablar,ĠHab | lar,1,False
interviews (train),BERTIN (RoBERTa-es),Intento,ĠIn | tento,1,False
interviews (train),BERTIN (RoBERTa-es),Llegaba,ĠL | leg | aba,1,False
interviews (train),BERTIN (RoBERTa-es),Llegué,ĠLle | guÃ©,1,False
interviews (train),BERTIN (RoBERTa-es),Lógicamente,ĠL | Ã³gicamente,1,False
interviews (train),BERTIN (RoBERTa-es),Manejar,ĠMan | ejar,1,False
interviews (train),BERTIN (RoBERTa-es),Mentalmente,ĠMental | mente,1,False
interviews (train),BERTIN (RoBERTa-es),Método,ĠMÃ© | todo,1,False
interviews (train),BERTIN (RoBERTa-es),Niveles,ĠNivel | es,1,False
interviews (train),BERTIN (RoBERTa-es),Normal,ĠN | ormal,1,False
interviews (train),BERTIN (RoBERTa-es),Normalmente,ĠN | ormalmente,1,False
interviews (train),BERTIN (RoBERTa-es),Parece,ĠPar | ece,1,False
interviews (train),BERTIN (RoBERTa-es),Pasar,ĠPas | ar,1,False
interviews (train),BERTIN (RoBERTa-es),Patrones,ĠPatr | ones,1,False
interviews (train),BERTIN (RoBERTa-es),Pensando,ĠPens | ando,1,False
interviews (train),BERTIN (RoBERTa-es),Pensar,ĠPens | ar,1,False
interviews (train),BERTIN (RoBERTa-es),Peor,ĠPe | or,1,False
interviews (train),BERTIN (RoBERTa-es),Precisamente,ĠPre | cisamente,1,False
interviews (train),BERTIN (RoBERTa-es),Prácticamente,ĠPrÃ¡c | ticamente,1,False
interviews (train),BERTIN (RoBERTa-es),Pésimo,ĠP | Ã©simo,1,False
interviews (train),BERTIN (RoBERTa-es),Quiero,ĠQu | iero,1,False
interviews (train),BERTIN (RoBERTa-es),Quizás,ĠQu | iz | Ã¡s,1,False
interviews (train),BERTIN (RoBERTa-es),Resulta,ĠRes | ulta,1,False
interviews (train),BERTIN (RoBERTa-es),Sacaba,ĠSac | aba,1,False
interviews (train),BERTIN (RoBERTa-es),Sentí,ĠS | entÃŃ,1,False
interviews (train),BERTIN (RoBERTa-es),Sinceramente,ĠSin | ceramente,1,False
interviews (train),BERTIN (RoBERTa-es),Solía,ĠSol | ÃŃa,1,False
interviews (train),BERTIN (RoBERTa-es),Supongo,ĠSu | pongo,1,False
interviews (train),BERTIN (RoBERTa-es),Tenía,ĠTen | ÃŃa,1,False
interviews (train),BERTIN (RoBERTa-es),Tiendo,ĠT | iendo,1,False
interviews (train),BERTIN (RoBERTa-es),Tomarme,ĠTom | arme,1,False
interviews (train),BERTIN (RoBERTa-es),Tratar,ĠTra | tar,1,False
interviews (train),BERTIN (RoBERTa-es),Usualmente,ĠUsu | almente,1,False
interviews (train),BERTIN (RoBERTa-es),Veo,ĠV | eo,1,False
interviews (train),BERTIN (RoBERTa-es),abandonarlo,Ġabandon | arlo,1,False
interviews (train),BERTIN (RoBERTa-es),abarcarlas,Ġabarcar | las,1,False
interviews (train),BERTIN (RoBERTa-es),abarcarlo,Ġabar | carlo,1,False
interviews (train),BERTIN (RoBERTa-es),abarque,Ġabar | que,1,False
interviews (train),BERTIN (RoBERTa-es),abasto,Ġab | asto,1,False
interviews (train),BERTIN (RoBERTa-es),abrazarme,Ġabrazar | me,1,False
interviews (train),BERTIN (RoBERTa-es),abrazarse,Ġabra | zarse,1,False
interviews (train),BERTIN (RoBERTa-es),abrumo,Ġabr | umo,1,False
interviews (train),BERTIN (RoBERTa-es),abrupta,Ġabrup | ta,1,False
interviews (train),BERTIN (RoBERTa-es),abrupto,Ġabrup | to,1,False
interviews (train),BERTIN (RoBERTa-es),aburridos,Ġaburr | idos,1,False
interviews (train),BERTIN (RoBERTa-es),aburría,Ġabur | rÃŃa,1,False
interviews (train),BERTIN (RoBERTa-es),acercarme,Ġacercar | me,1,False
interviews (train),BERTIN (RoBERTa-es),acerco,Ġacer | co,1,False
interviews (train),BERTIN (RoBERTa-es),achicopalado,Ġach | ico | pal | ado,1,False
interviews (train),BERTIN (RoBERTa-es),acomodado,Ġacomod | ado,1,False
interviews (train),BERTIN (RoBERTa-es),acomodar,Ġacomod | ar,1,False
